Reportnumber,NonMotoristID,NonMotoristActions,NonMotoristAlcoholTestindicator,NonMotoristAlcoholTestType,NonMotoristBAC,NonMotoristCondition,NonMotoristDOB,NonMotoristDrugTestIndicator,NonMotoristDrugTestResult,NonMotoristInjurySeverity,NonMotoristLocation,NonMotoristMovement,NonMotoristObeyTrafficSignal,NonMotoristSafetyEquipment,NonMotoristSex,NonMotoristSubstanceUse,NonMotoristType,NonMotoristUnitNumberFirstStrike,NonMotoristVisibility
ADJ715005W,cce8abb6-dfd7-4859-85cb-95e4369deba4,No Improper Actions,N/A,,,Apparently Normal,10/12/2001,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,F,None Detected,Pedestrian,1,Light Clothing
ADJ250005T,dbe937e8-2a1a-49f5-82e5-8481f5959dab,Dart Dash,N/A,,,N/A,1/8/2009,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,N/A,M,N/A,Pedestrian,1,Light Clothing
ADH1620059,64420d38-e465-47fb-b7bc-2de78d7cff87,No Improper Actions,N/A,,,Apparently Normal,1/18/1992,N/A,,Possible Injury,Shoulder,Standing,N/A,None,M,None Detected,Pedestrian,2,N/A
ADK367001B,5c520863-8187-40bc-8649-3c2a321879f6,No Improper Actions,N/A,,,Apparently Normal,5/24/1989,N/A,,Suspected Minor Injury,Curb,N/A,N/A,N/A,M,N/A,Pedestrian,,N/A
BSPDA2130004,755d5a94-d126-4df8-9bdf-b5bbed0d53bd,No Improper Actions,N/A,,,Apparently Normal,7/21/2005,N/A,,Possible Injury,At Intersection But No Crosswalk,Walking/Riding With Traffic,No Pedestrian Signal,None,F,N/A,Pedestrian,1,Light Clothing
ADG44500BS,cddedf5b-6c5f-4c4a-8375-73219cd972fb,No Improper Actions,N/A,,,Apparently Normal,1/11/1957,N/A,,Suspected Minor Injury,Sidewalk,Standing,N/A,N/A,M,N/A,Pedestrian,,N/A
ADK677000G,6700abb7-fb1d-4267-ae9d-5cd6b6ff66d7,No Improper Actions,N/A,,,Apparently Normal,7/13/1992,N/A,,Suspected Serious Injury,Shoulder,Standing,N/A,N/A,M,None Detected,Pedestrian,1,Mixed Clothing
ADJ965003W,145b8518-f3de-4a25-ad79-e4286a158813,No Improper Actions,N/A,,,Apparently Normal,1/17/2010,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,None,M,N/A,Pedestrian,,Dark Clothing
ADK7730004,60f4da25-a91f-4e8d-a1de-6ab330c29c72,Unknown,N/A,,,,2/12/1992,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,None,M,None Detected,Other,1,Unknown
ADJ2320035,84bbcaf6-09c4-4d0a-b940-43c7f41634bd,No Improper Actions,N/A,,,Apparently Normal,1/24/1968,N/A,,Suspected Serious Injury,N/A,Standing,N/A,N/A,M,N/A,Pedestrian,2,N/A
ADK188002J,57d47bbf-9a9a-4e3e-9a24-2a4960ed9c0f,No Improper Actions,N/A,,,Had Been Drinking,12/12/1980,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Walking/Riding on Sidewalk,N/A,None,M,N/A,Pedestrian,,N/A
ADK630000Q,2006e486-2fe8-43e6-9ca7-13fed5282343,Dart Dash,N/A,,,Apparently Normal,7/21/1960,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,N/A,Pedestrian,1,N/A
ADK5110007,c6deacf5-b3e6-4f4d-98ca-d756701780a8,Other,N/A,,,,1/1/2000,N/A,,Possible Injury,Sidewalk,Other,No Pedestrian Signal,N/A,F,None Detected,Pedestrian,,Unknown
ADI625003K,4099dfdf-d410-47fe-a1d0-e1bfc3c4537c,No Improper Actions,N/A,,,Apparently Normal,11/18/1983,N/A,,Possible Injury,Curb,Standing,N/A,N/A,M,None Detected,Pedestrian,,N/A
ADI703007B,02a47a8d-5345-478c-bdc9-4242f9463f85,No Improper Actions,N/A,,,Apparently Normal,4/21/1949,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,None,M,None Detected,Pedestrian,1,Dark Clothing
ADG335002T,93bdd415-ae15-4e56-bb16-c1b3ded1577b,No Improper Actions,N/A,,,Apparently Normal,8/30/1982,N/A,,Possible Injury,In Bikeway,Walking/Riding With Traffic,N/A,Helmet,M,N/A,Bicyclist,,Head Light and Reflectors
MTA0420000D,204e9068-a443-475b-ad08-291531a2d2e4,Other,N/A,,,Apparently Normal,1/21/1981,N/A,,Possible Injury,Other,Other,Unknown,None,M,Unknown,Other,1,Light Clothing
ADK5690019,023c277e-a04a-4627-918a-a54125f65a83,In Roadway Improperly,N/A,,,N/A,6/1/1989,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,None,F,N/A,Pedestrian,1,Unknown
ADK4030012,46f93f45-7577-4b72-bb43-25cbdb03079a,No Improper Actions,N/A,,,Apparently Normal,7/19/1994,N/A,,Suspected Minor Injury,Sidewalk,Other Working,N/A,N/A,M,N/A,Pedestrian,1,Mixed Clothing
ADG7380096,81a2a4f0-1046-4052-9190-5dbf0dc88d95,In Roadway Improperly,N/A,,,Apparently Normal,10/10/1961,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,F,None Detected,Pedestrian,1,Mixed Clothing
ADG7380090,73ccd08c-b743-48b6-9221-9cff0603b322,In Roadway Improperly,N/A,,,Apparently Normal,3/29/1986,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,F,None Detected,Pedestrian,1,Dark Clothing
ADK459000S,4a13feac-26dd-4b8c-9fc7-86efbc047b23,Failure to Yield Right of Way,N/A,,,Apparently Normal,8/7/2008,N/A,,Possible Injury,Sidewalk,Cross/Enter at Intersection,N/A,None,F,N/A,Pedestrian,,Light Clothing
ADI765006N,e71bd192-2ce5-4fc5-bc75-b4451d548b5e,Failure to Yield Right of Way,N/A,,,,1/16/1967,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,None,M,None Detected,Bicyclist,,Mixed Clothing
ADK729000S,12891a82-942d-467f-affd-999872fb5f75,In Roadway Improperly,N/A,,,Apparently Normal,10/12/1963,N/A,,Possible Injury,Other,Cross/Enter Not at Intersection,No Pedestrian Signal,None,F,N/A,Pedestrian,1,N/A
ADK729000S,73bf38b3-262d-47a9-bcec-08cdeddd04ed,In Roadway Improperly,N/A,,,Apparently Normal,12/21/2004,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,F,N/A,Pedestrian,1,N/A
ADK232001R,9094f8f7-5cd8-487b-8c63-6a43c4053910,Unknown,N/A,,,Apparently Normal,12/26/1946,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,F,None Detected,Pedestrian,,Mixed Clothing
ADJ988002K,eda48443-0dac-42a6-af8d-cf7cdd7d3a03,No Improper Actions,N/A,,,Had Been Drinking,6/23/1988,N/A,,Possible Injury,Curb,Cross/Enter at Intersection,Unknown,N/A,M,N/A,Pedestrian,1,N/A
ADJ7890064,6e4f68d3-8b69-45e8-b472-2d9f7c65df0a,Not Visible,N/A,,,N/A,3/30/2010,N/A,,Possible Injury,On Roadway Not at Crosswalk,Walking To/From School,N/A,None,F,N/A,Pedestrian,1,N/A
ADJ7890062,b5cbce84-769b-42ad-8744-9d9f8e857efa,No Improper Actions,N/A,,,Apparently Normal,8/23/2002,N/A,,Possible Injury,On Roadway Not at Crosswalk,Other,N/A,N/A,M,N/A,Bicyclist,,N/A
ADG354000J,f26c6202-b4d7-4494-a10a-b03c8867f8e0,In Roadway Improperly,N/A,,,Unknown,7/10/1988,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,F,N/A,Pedestrian,1,Mixed Clothing
ADI151002C,082e7779-d3e9-401c-9e8a-b41dd5d7434b,No Improper Actions,N/A,,,Apparently Normal,8/5/1971,N/A,,Suspected Minor Injury,Outside Right of Way,Walking/Riding Against Traffic,No Pedestrian Signal,None,F,None Detected,Pedestrian,1,Light Clothing
ADH905000M,925aa3aa-1fc6-4eab-b2f7-4b6f23a1a8bf,Unknown,N/A,,,,1/26/1982,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,N/A,None,F,N/A,Pedestrian,,Dark Clothing
ADK744000Y,65c9663f-eb24-4c86-b873-da7ca98bb2b8,Unknown,N/A,,,Apparently Normal,7/19/1981,N/A,,Suspected Minor Injury,Unknown,Unknown,Unknown,None,F,None Detected,Pedestrian,1,Unknown
ADH99100D3,157d9ccc-9c23-40cd-8fb4-d461f25728fe,No Improper Actions,N/A,,,Unknown,1/3/1994,N/A,,Suspected Serious Injury,At Intersection But No Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,None,F,Unknown,Pedestrian,1,Mixed Clothing
ADK424000C,798823e6-5c83-44e1-9312-28c3b528d48e,Not Visible,N/A,,,Physical Defects,12/15/1985,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Walking/Riding With Traffic,No Pedestrian Signal,N/A,M,None Detected,Pedestrian,,Mixed Clothing
ADK717000P,2a0d251b-1637-45f4-ae67-37216a885dbb,N/A,N/A,,,Apparently Normal,10/25/1999,N/A,,Suspected Serious Injury,N/A,Unknown,Unknown,N/A,M,N/A,Pedestrian,1,N/A
ADJ649005B,7aadcac5-6427-40b5-a711-382c7796e224,No Improper Actions,N/A,,,Apparently Normal,12/13/1997,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,None,F,N/A,Pedestrian,1,Dark Clothing
ADJ833003F,aa1c74c9-93ce-4bb2-84a5-d9126bf895f6,Dart Dash,N/A,,,Apparently Normal,5/7/2015,N/A,,Possible Injury,At Intersection But No Crosswalk,Cross/Enter at Intersection,N/A,N/A,M,None Detected,Bicyclist,1,Light Clothing
ADJ946000R,934c05f2-c744-4eb9-8f2a-44cd935d54fb,No Improper Actions,N/A,,,Apparently Normal,1/11/1987,N/A,,Possible Injury,N/A,Standing,N/A,N/A,M,N/A,Pedestrian,,Mixed Clothing
ADH184000Z,4e55031f-277a-4588-a36a-550e8e07dc8f,Unknown,N/A,,,Apparently Normal,1/20/1963,N/A,,Possible Injury,On Roadway Not at Crosswalk,Walking/Riding With Traffic,Unknown,None,M,N/A,Bicyclist,1,Mixed Clothing
ADK172000V,a5fcf9f5-d2e3-40c6-9dae-99dde26a9645,Unknown,N/A,,,Unknown,5/21/1980,N/A,,Suspected Serious Injury,Midblock Marked Crosswalk,Unknown,Unknown,None,F,Unknown,Pedestrian,1,Dark Clothing
ADK1380011,971c2c60-d2ca-438f-9832-cde5ddfea14f,No Improper Actions,N/A,,,Apparently Normal,4/27/1969,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,None Detected,Pedestrian,1,Dark Clothing
ADJ944000J,ae94e16f-44a5-4971-b716-04d9348e8dd5,Unknown,N/A,,,Apparently Normal,4/14/2016,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Playing,No Pedestrian Signal,N/A,F,N/A,Pedestrian,,Unknown
ADJ944000F,09d0606f-060b-4010-8f80-11df3657bc44,No Improper Actions,N/A,,,Apparently Normal,3/4/1980,N/A,,Possible Injury,Other,Other Working,No Pedestrian Signal,N/A,F,None Detected,Pedestrian,,Mixed Clothing
ADJ7960017,3c871b9e-025c-4235-81cb-9261f70e8fc1,Unknown,N/A,,,Unknown,4/20/2003,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,N/A,N/A,F,N/A,Pedestrian,1,Light Clothing
ADK2430002,2ea4b91f-4746-40b5-90f8-b252a7942b66,Unknown,N/A,,,,8/22/1974,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,None,F,None Detected,Pedestrian,1,Light Clothing
ADJ906000X,e22f2271-ccd3-42d7-b833-71942dce83b3,Inattentive,N/A,,,Apparently Normal,3/1/1961,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,N/A,Pedestrian,1,N/A
ADJ084003L,689b8282-d858-42ed-b7bb-f6d2c74f842d,Dart Dash,N/A,,,Apparently Normal,2/5/1996,N/A,,Possible Injury,Sidewalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,None Detected,Bicyclist,1,Dark Clothing
ADK058000K,b942eccd-b3f2-442b-8b5a-b5645a4c907f,No Improper Actions,N/A,,,Apparently Normal,9/7/1963,N/A,,Possible Injury,On Roadway Not at Crosswalk,Walking/Riding With Traffic,No Pedestrian Signal,N/A,M,N/A,Bicyclist,1,Light Clothing
ADJ969001Z,82562229-5cb9-4e86-bceb-13e0f1a57cf6,Dart Dash,N/A,,,N/A,1/1/1900,N/A,,No Apparent Injury,Unknown,Cross/Enter Not at Intersection,No Pedestrian Signal,None,U,Unknown,Pedestrian,,Unknown
ADK055000D,577b398e-a95c-4bf5-b3ab-322b46057ea2,Unknown,N/A,,,Apparently Normal,10/4/1990,N/A,,Suspected Minor Injury,Shoulder,Walking/Riding With Traffic,No Pedestrian Signal,None,M,N/A,Machine Operator/Rider,1,Mixed Clothing
ADG3310031,e6983a64-0c65-4ce3-90af-45d631f46c2a,No Improper Actions,N/A,,,Apparently Normal,11/9/1977,N/A,,Suspected Minor Injury,In Bikeway,Walking/Riding With Traffic,N/A,Helmet,M,N/A,Bicyclist,,Dark Clothing
ADK032000B,2c02678b-626b-4ace-a438-07ef6ac00db9,Other,N/A,,,Apparently Normal,7/16/1990,N/A,,Possible Injury,At Intersection But No Crosswalk,Other,Other,Reflective Clothing,F,N/A,Pedestrian,1,Reflective Material
ADE459008K,3f7d79d5-ab66-413e-ae3b-4c38749ebda7,No Improper Actions,N/A,,,Apparently Normal,5/24/1999,N/A,,Possible Injury,At Intersection But No Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,N/A,F,None Detected,Pedestrian,1,Mixed Clothing
ADJ868002L,aaa30b07-09b8-4083-b89a-61a91bc15746,Dart Dash,N/A,,,Apparently Normal,11/26/2004,N/A,,Suspected Minor Injury,At Intersection But No Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,N/A,Bicyclist,1,Mixed Clothing
ADJ9020013,9b81957d-229e-4f33-a384-b03af72d5c8b,No Improper Actions,N/A,,,N/A,7/22/1960,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,N/A,F,N/A,Pedestrian,1,Light Clothing
ADJ870000S,16b6f20c-eb80-4df8-a7e6-2323f0705c3d,Unknown,N/A,,,,10/9/1978,N/A,,Possible Injury,Sidewalk,Cross/Enter Not at Intersection,N/A,Unknown,M,N/A,Bicyclist,,Mixed Clothing
ADI865002T,daada5c0-b030-426e-bc02-b8e68536edfd,Inattentive,N/A,,,Unknown,12/19/1984,N/A,,Suspected Minor Injury,Shoulder,Walking/Riding With Traffic,No Pedestrian Signal,None,M,Unknown,Bicyclist,,Mixed Clothing
ADK0030021,75ed6ff5-99b1-41d0-908a-e1e688529379,Wrong Way Riding or Walking,N/A,,,Apparently Normal,10/2/2008,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,Other,N/A,F,None Detected,Pedestrian,1,Reflective Material
ADK0620027,12067947-b257-4eff-a661-14bb8a28a419,Other,N/A,,,,12/3/1986,N/A,,Suspected Serious Injury,On Roadway At Crosswalk,Other,N/A,N/A,M,Unknown,Pedestrian,,Other
ADJ934001G,2d6a38a6-1c10-4959-b7f0-7ed9d5c67fce,No Improper Actions,N/A,,,Apparently Normal,2/15/1952,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Obeyed Pedestrian Signal,None,F,N/A,Pedestrian,1,Mixed Clothing
ADJ948001T,11f60242-3a07-4b43-adb9-d47ddf61e20c,In Roadway Improperly,N/A,,,,12/16/1991,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Other,N/A,N/A,M,Unknown,Pedestrian,1,Unknown
ADJ8080035,a00c5a27-25cc-4ffc-86c6-15cc4b55ff8f,Entering Exiting Parked Standing Vehicle,N/A,,,Apparently Normal,6/13/1965,N/A,,Possible Injury,On Roadway Not at Crosswalk,Standing,N/A,N/A,M,N/A,Pedestrian,,Dark Clothing
ADI4680065,a6def2d5-0361-463b-aa99-09194af3addb,Dart Dash,N/A,,,Unknown,7/29/1983,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,None Detected,Pedestrian,1,Dark Clothing
ADK213000K,6e805826-8f31-4b88-8ad6-376392c5d3c6,Unknown,N/A,,,,3/1/1968,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,F,N/A,Pedestrian,1,N/A
ADK213000K,8083a6bf-19a5-40d1-ba16-31f48749dc57,Unknown,N/A,,,Apparently Normal,8/30/1977,N/A,,No Apparent Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,F,N/A,Pedestrian,1,N/A
ADK073001H,d74d6644-2247-4b44-80ef-309e31feac3a,No Improper Actions,N/A,,,,6/6/1968,N/A,,Suspected Minor Injury,Other,Push/Work on Vehicle,N/A,N/A,F,N/A,Pedestrian,,N/A
ADE45900BV,26ceb479-b0d0-4c85-bdef-ff1239fa1912,Dart Dash,N/A,,,Apparently Normal,9/9/1967,N/A,,Suspected Minor Injury,Other,Other,Other,None,M,None Detected,Bicyclist,1,Light Clothing
ADH584008Z,138dbff2-4ca5-4ca1-b684-22450be10bbc,Dart Dash,N/A,,,Apparently Normal,9/6/1988,N/A,,Suspected Minor Injury,Median,Other,No Pedestrian Signal,None,F,None Detected,Pedestrian,1,Dark Clothing
ADH584008Z,9a3b33ca-240d-4ab4-9eb0-206efd454a77,In Roadway Improperly,N/A,,,Apparently Normal,9/6/1988,N/A,,Possible Injury,Median,Other,No Pedestrian Signal,None,F,None Detected,Pedestrian,1,Dark Clothing
ADJ417004N,9ec0de3d-c5e1-4171-b5b6-32c83f7e929c,Failure to Obey Traffic Signs Signals or Officer,Unknown,,,,12/26/2006,Unknown,,Suspected Minor Injury,At Intersection Marked Crosswalk,Cross/Enter at Intersection,Disobeyed Pedestrian Signal,None,M,N/A,Bicyclist,,Unknown
ADI112005D,82a40bdc-0fff-4665-b23a-3cf0ab2b4a66,N/A,N/A,,,,9/2/2010,N/A,,Possible Injury,Other,Walking/Riding With Traffic,Other,Unknown,M,N/A,Bicyclist,,Other
ADI112005D,aa3cfd50-4ab1-4b6f-a668-cd0f1368e517,Failure to Obey Traffic Signs Signals or Officer,N/A,,,,11/25/2001,N/A,,Possible Injury,At Intersection But No Crosswalk,Walking/Riding With Traffic,Other,Unknown,M,N/A,Bicyclist,,Other
ADH002008K,51702e4c-8931-4a0f-a236-295311cc78fe,In Roadway Improperly,N/A,,,Apparently Normal,9/8/2003,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Walking/Riding Against Traffic,No Pedestrian Signal,None,M,None Detected,Bicyclist,1,Mixed Clothing
ADH3930010,43c7ca0e-3448-47bc-bd15-fbe8746c4da0,Dart Dash,N/A,,,Apparently Normal,10/16/1975,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,None Detected,Pedestrian,1,Light Clothing
ADJ998001M,ee66c2bd-2d44-42a0-bf05-58b84b39405b,Failure to Obey Traffic Signs Signals or Officer,N/A,,,,3/4/1978,N/A,,Suspected Serious Injury,At Intersection But No Crosswalk,Cross/Enter at Intersection,Other,None,M,Unknown,Bicyclist,,Light Clothing
ADJ9260011,95cb0ad8-99c6-4bfb-b9d6-c04f1d907671,No Improper Actions,N/A,,,Apparently Normal,3/13/1984,N/A,,Suspected Minor Injury,Shoulder,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,None Detected,Pedestrian,1,Unknown
ADJ9030025,0e533a14-f4e5-43b1-a2ef-4e1d05633b89,In Roadway Improperly,N/A,,,Apparently Normal,12/30/2000,N/A,,Possible Injury,On Roadway Not at Crosswalk,Other,No Pedestrian Signal,None,F,None Detected,Pedestrian,1,Dark Clothing
ADK1360017,a7bd5f9c-6219-4293-8556-3a51586b7f90,No Improper Actions,N/A,,,Unknown,9/20/1984,N/A,,Possible Injury,Other,Walking/Riding on Sidewalk,N/A,None,M,N/A,Pedestrian,1,N/A
ADK1770014,a88146b4-3c0a-4bd1-ad41-d6af004d82b8,N/A,N/A,,,,5/30/1979,N/A,,Suspected Serious Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Disobeyed Pedestrian Signal,N/A,M,None Detected,Pedestrian,,Dark Clothing
ADG331003N,e4243250-ad30-45b2-ae0d-fba12baa6205,In Roadway Improperly,N/A,,,Apparently Normal,12/5/1983,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Standing,N/A,N/A,F,N/A,Pedestrian,1,Light Clothing
ADK067000K,3d2d3aae-3302-4312-990c-3b5b3e27e4a8,In Roadway Improperly,N/A,,,Apparently Normal,4/30/1980,N/A,,Possible Injury,On Roadway Not at Crosswalk,Standing,N/A,N/A,F,None Detected,Pedestrian,1,Light Clothing
ADK302000R,59726d95-0fd5-4185-8194-f49d056a9bac,No Improper Actions,N/A,,,Apparently Normal,5/24/2010,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Playing,No Pedestrian Signal,Unknown,M,None Detected,Bicyclist,1,Mixed Clothing
ADE443003V,fc4405bb-311c-433e-9a07-dca8e3382921,Unknown,N/A,,,Apparently Normal,7/14/2009,N/A,,Possible Injury,On Roadway Not at Crosswalk,Walking/Riding Against Traffic,Unknown,Unknown,F,N/A,Bicyclist,1,Unknown
ADJ9340024,6911b08f-ca7a-4a65-84b4-fe2a648b1f51,No Improper Actions,N/A,,,Apparently Normal,6/18/1985,N/A,,Suspected Minor Injury,Outside Right of Way,Cross/Enter at Intersection,No Pedestrian Signal,None,F,Unknown,Pedestrian,1,Unknown
ADJ506006K,bb0ca023-cf79-41aa-a72a-53440451fdf9,No Improper Actions,N/A,,,Apparently Normal,4/11/2008,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,None Detected,Pedestrian,1,Mixed Clothing
ADJ914000X,3a4f90b1-de00-4234-a915-6331bae46b5d,No Improper Actions,N/A,,,Apparently Normal,4/19/1969,N/A,,Suspected Minor Injury,N/A,Walking/Riding With Traffic,N/A,Unknown,M,N/A,Bicyclist,1,Light Clothing
ADG6880016,dd8a6b24-09d4-488c-98f0-547989a65bb3,Improper Turn Merge,N/A,,,Apparently Normal,10/6/1992,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,None Detected,Bicyclist,1,Dark Clothing
ADJ4870058,61009e08-a402-4b35-9d2b-07f36d915044,No Improper Actions,N/A,,,Apparently Normal,4/15/1971,N/A,,Suspected Minor Injury,Sidewalk,Standing,No Pedestrian Signal,N/A,M,N/A,Pedestrian,3,Dark Clothing
ADJ7450044,d5063db7-4c66-41ee-a279-a31111bf3969,Improper Passing,N/A,,,Apparently Normal,5/22/1984,N/A,,Possible Injury,On Roadway Not at Crosswalk,Walking/Riding With Traffic,N/A,Unknown,F,None Detected,Bicyclist,1,Mixed Clothing
ADI012004T,17a7aa3a-1f5b-45e3-b5be-380fbc2a2811,In Roadway Improperly,N/A,,,Apparently Normal,7/12/1980,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,Reflective Clothing,M,N/A,Pedestrian,1,Reflective Material
ADI012004T,ffae6dfd-4fd9-4586-a260-963abaa35f8d,Failure to Yield Right of Way,N/A,,,Apparently Normal,7/17/1980,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,Reflective Clothing,M,N/A,Pedestrian,1,Reflective Material
ADD905008B,052ff671-59cd-42b8-95d4-e1d9a7658d5f,Dart Dash,N/A,,,Apparently Normal,8/8/2010,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,None Detected,Pedestrian,1,Mixed Clothing
ADH044006W,91dd1c91-54c4-4c33-b8cf-ca30a8c48052,Unknown,N/A,,,,7/16/1949,N/A,,Possible Injury,On Roadway Not at Crosswalk,Other,Unknown,N/A,F,N/A,Pedestrian,1,Mixed Clothing
ADI1180052,fc6e32eb-881b-4b7e-bc3c-b76ee80e08ef,In Roadway Improperly,N/A,,,Apparently Normal,11/27/2004,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,None Detected,Pedestrian,1,Mixed Clothing
ADI0640040,33c94137-6c3d-495c-82bd-181a58e32828,Unknown,N/A,,,,11/25/1966,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,N/A,Pedestrian,,Dark Clothing
ADJ735003L,3a5f6ef0-37ad-4676-9304-f8ac874a5e0c,No Improper Actions,N/A,,,Apparently Normal,11/9/1966,N/A,,Possible Injury,On Roadway Not at Crosswalk,Standing,No Pedestrian Signal,Reflective Clothing,M,N/A,Pedestrian,1,Reflective Material
ADJ735003L,85aed50e-e54a-46f9-ab77-f4683a77072d,No Improper Actions,N/A,,,Apparently Normal,3/5/1977,N/A,,Possible Injury,On Roadway Not at Crosswalk,Standing,No Pedestrian Signal,None,F,N/A,Pedestrian,1,Mixed Clothing
ADE543002W,820f2fe1-55e0-40ad-b586-7a1d5671af63,No Improper Actions,N/A,,,Apparently Normal,7/24/1987,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,N/A,N/A,F,None Detected,Pedestrian,,Mixed Clothing
ADJ745005M,2bee8c2c-cc3b-44ba-88cb-a92901fb1f66,No Improper Actions,N/A,,,Physical Defects,3/29/1951,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,None,M,None Detected,Pedestrian,1,Mixed Clothing
ADJ7450060,31a6596b-9e54-454b-8fcb-ebe012ad7c2d,Unknown,N/A,,,N/A,3/20/1959,N/A,,Possible Injury,Curb,Unknown,N/A,None,M,N/A,Pedestrian,1,Dark Clothing
ADH9910092,eaab7a26-60d9-43c2-ab12-509e65c08203,Failure to Yield Right of Way,N/A,,,Apparently Normal,2/24/1993,N/A,,Possible Injury,On Roadway Not at Crosswalk,Walking/Riding Against Traffic,N/A,N/A,M,None Detected,Pedestrian,1,Dark Clothing
ADG421000Z,0b99224b-bb7e-45bd-829b-bed56689b83b,No Improper Actions,N/A,,,N/A,12/20/1975,N/A,,Possible Injury,Sidewalk,Standing,N/A,N/A,M,N/A,Pedestrian,1,N/A
ADJ8870017,9cfc3f1a-419d-4333-ae2f-8b0c3d1d3d6b,Unknown,N/A,,,Apparently Normal,11/19/1966,N/A,,Possible Injury,Other,Other,N/A,N/A,F,N/A,Pedestrian,1,Unknown
